<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.11.13	00:03:30.628	154.767	154.827			6
2025.11.13	00:03:36.185	154.743				2
2025.11.13	00:03:46.991	154.767				2
2025.11.13	00:03:58.125	154.743				2
2025.11.13	00:04:00.290	154.743				2
2025.11.13	00:04:11.088	154.767				2
2025.11.13	00:04:11.707	154.744				2
2025.11.13	00:04:22.230	154.740				2
2025.11.13	00:04:24.694	154.744				2
2025.11.13	00:04:30.874		154.827			4
2025.11.13	00:04:36.130	154.740				2
2025.11.13	00:04:37.367	154.732	154.804			6
2025.11.13	00:04:38.602	154.740	154.827			6
2025.11.13	00:04:52.192	154.744				2
2025.11.13	00:05:00.235	154.744				2
2025.11.13	00:05:00.552	154.748	154.812			6
2025.11.13	00:05:01.102		154.810			4
2025.11.13	00:05:01.646	154.758				2
2025.11.13	00:05:02.960	154.742				2
2025.11.13	00:05:04.495	154.744				2
2025.11.13	00:05:05.417	154.742				2
2025.11.13	00:05:07.273	154.758				2
2025.11.13	00:05:11.867		154.807			4
2025.11.13	00:05:14.359		154.810			4
2025.11.13	00:05:16.902		154.807			4
2025.11.13	00:05:18.624	154.738				2
2025.11.13	00:05:21.878		154.805			4
2025.11.13	00:05:22.495	154.759				2
2025.11.13	00:05:23.489		154.806			4
2025.11.13	00:05:31.184		154.807			4
2025.11.13	00:05:33.807	154.742				2
2025.11.13	00:05:37.531	154.741				2
2025.11.13	00:05:40.932		154.813			4
2025.11.13	00:05:51.753		154.815			4
2025.11.13	00:05:52.361		154.817			4
2025.11.13	00:05:52.988	154.759				2
2025.11.13	00:06:00.552	154.759				2
2025.11.13	00:06:03.832	154.741				2
2025.11.13	00:06:06.005	154.742				2
2025.11.13	00:06:11.664		154.816			4
2025.11.13	00:06:12.282	154.759				2
2025.11.13	00:06:16.667		154.814			4
2025.11.13	00:06:23.814	154.742				2
2025.11.13	00:06:26.603	154.740	154.827			6
2025.11.13	00:06:27.536	154.741	154.822			6
2025.11.13	00:06:28.403	154.759				2
2025.11.13	00:06:39.103	154.741				2
2025.11.13	00:06:41.869	154.759				2
2025.11.13	00:06:46.907		154.820			4
2025.11.13	00:06:51.868		154.822			4
2025.11.13	00:06:53.355	154.741				2
2025.11.13	00:06:57.975	154.759				2
2025.11.13	00:07:00.643	154.759				2
2025.11.13	00:07:01.866		154.821			4
2025.11.13	00:07:08.329	154.742				2
2025.11.13	00:07:20.175	154.739	154.818			6
2025.11.13	00:07:26.562	154.759				2
2025.11.13	00:07:37.071	154.739				2
2025.11.13	00:07:41.865	154.759				2
2025.11.13	00:07:52.628	154.740				2
2025.11.13	00:07:54.659	154.759				2
2025.11.13	00:07:57.487		154.819			4
2025.11.13	00:08:00.870	154.759				2
2025.11.13	00:08:01.478		154.817			4
2025.11.13	00:08:05.807	154.740				2
2025.11.13	00:08:22.845	154.759				2
2025.11.13	00:08:23.489		154.821			4
2025.11.13	00:08:24.304		154.822			4
2025.11.13	00:08:33.264	154.739				2
2025.11.13	00:08:47.116	154.759				2
2025.11.13	00:08:51.436	154.763				2
2025.11.13	00:08:51.744	154.759	154.821			6
2025.11.13	00:08:53.240	154.763	154.822			6
2025.11.13	00:08:53.545	154.759	154.821			6
2025.11.13	00:08:55.054		154.822			4
2025.11.13	00:08:57.814	154.739				2
2025.11.13	00:09:00.274	154.739	154.821			6
2025.11.13	00:09:01.197	154.738				2
2025.11.13	00:09:03.035	154.759				2
2025.11.13	00:09:10.715		154.827			4
2025.11.13	00:09:14.421	154.740				2
2025.11.13	00:09:18.408	154.759				2
2025.11.13	00:09:29.498	154.740				2
2025.11.13	00:09:48.919	154.759				2
2025.11.13	00:09:55.685		154.826			4
2025.11.13	00:10:00.006	154.739				2
2025.11.13	00:10:01.542		154.823			4
2025.11.13	00:10:03.400		154.824			4
2025.11.13	00:10:08.321		154.825			4
2025.11.13	00:10:08.937		154.824			4
2025.11.13	00:10:12.328	154.737				2
2025.11.13	00:10:20.050	154.735	154.822			6
